role,file,type,format,status,description,reproduction_or_upload_note
included_raw_sample,modeling_data/bts_nyc_weather_sample_2024_01.csv,dataset,csv,included,"Constructed raw-data sample joining January 2024 BTS flights from JFK/EWR/LGA with hourly IEM ASOS weather observations.","Rebuild with: python scripts/download_flight_delay_datasets.py --bts-years 2024 --bts-months 1 --weather-years 2024 --weather-months 1 --stations JFK,EWR,LGA ; python scripts/build_delay_modeling_sample.py"
included_sample_summary,modeling_data/bts_nyc_weather_sample_2024_01_summary.csv,dataset_summary,csv,included,"Summary checks for the included January 2024 NYC flight-weather sample.","Produced by scripts/build_delay_modeling_sample.py"
dashboard_raw_chunks,data/module8/full_data_chunk_*.json,dataset,json,included,"Dashboard raw-data chunks for the NYC flight-level explorer.","Produced by the R dashboard data pipeline."
main_metrics,analysis_results/full_journal_experiment/full_classification_metrics.csv,analysis_output,csv,included,"Main full-experiment validation/test model metrics.","Produced by scripts/run_full_journal_experiment.py --stage train"
threshold_metrics,analysis_results/full_journal_experiment/full_threshold_tuned_metrics.csv,analysis_output,csv,included,"Validation-selected threshold results evaluated on the 2025 test year.","Produced by scripts/run_full_journal_experiment.py --stage train"
feature_summary,analysis_results/full_journal_experiment/feature_build_summary.json,analysis_output,json,included,"Summary of the full constructed feature table: rows, airports, dates, target rate, and weather match rate.","Produced by scripts/run_full_journal_experiment.py --stage build"
run_summary,analysis_results/full_journal_experiment/full_run_summary.json,analysis_output,json,included,"Summary of the full model run and best test model.","Produced by scripts/run_full_journal_experiment.py --stage train"
shap_importance,analysis_results/full_journal_experiment/lightgbm_shap_importance.csv,analysis_output,csv,included,"LightGBM mean absolute SHAP feature-importance table.","Produced by scripts/run_full_journal_experiment.py --stage train"
derived_analysis,analysis_results/derived_analysis/*.csv,analysis_output,csv,included,"Calibration, risk-decile, threshold, top-k, model-correlation, and audit tables used in manuscript reporting.","Derived from validation/test prediction scores and manuscript analysis scripts."
pilot_outputs,analysis_results/model_pilot/*,analysis_output,csv/json/png,included,"Pilot model metrics, predictions, regression metrics, feature importance, and diagnostic figures.","Produced by scripts/run_advanced_model_pilot.py"
full_constructed_raw_data,modeling_data/full_2018_2025/flight_delay_features_2018_2025.parquet,dataset,parquet,upload_separately,"Large constructed full feature table for 2018-2025 U.S. flight delay risk-ranking analysis: 38,298,113 rows and 40 origin airports.","Upload to Figshare/Zenodo/PeerJ Supplemental Files with a legend containing 'raw data'."
full_prediction_scores,analysis_results/full_journal_experiment/validation_predictions.parquet and analysis_results/full_journal_experiment/test_predictions.parquet,dataset,parquet,upload_or_regenerate,"Large validation/test prediction-score tables supporting risk-ranking, threshold, top-k, and calibration analyses.","Upload as raw data if desired, or regenerate with scripts/run_full_journal_experiment.py --stage train."
